model_class,minimum_regime_duration,ar_order,break_onset_indices_1based,term,estimate,standard_error_conditional,t_statistic_conditional,degrees_freedom,p_two_sided_conditional,ci_lower_conditional,ci_upper_conditional
trend_only,3,0,,intercept,35.456287746692226,1.0187850040747928,34.8025222248847,32,5.2596280704441166e-27,33.38109060207515,37.531484891309304
trend_only,3,0,,time,0.3762788282562575,0.1038443233335676,3.623489625403775,32,0.0009953966297759,0.1647548635290617,0.5878027929834533
break_only,3,2,7|14|19,intercept,28.20200642043469,0.7306073952385826,38.60076780529331,28,7.954002593309418e-26,26.705425014179557,29.69858782668982
break_only,3,2,7|14|19,shift_at_7,9.0715128409431,1.0082152754483775,8.997595118670246,28,9.392073078285528e-10,7.006277470247584,11.136748211638617
break_only,3,2,7|14|19,shift_at_14,-8.530657605433621,1.0489850342518057,-8.132296769627565,28,7.463622458079347e-09,-10.67940604123135,-6.381909169635893
break_only,3,2,7|14|19,shift_at_19,11.165635608297812,0.9011631494973952,12.390248774070722,28,6.975703635080512e-13,9.319686576944653,13.011584639650971
break_plus_trend,3,2,7|14|19,intercept,27.93833220647232,1.5219339872246616,18.357124843121188,27,8.842628058221541e-17,24.81558160741625,31.061082805528393
break_plus_trend,3,2,7|14|19,time,-0.0186868950314489,0.0944437067199528,-0.1978627870553604,27,0.8446345792585106,-0.2124693745689621,0.1750955845060642
break_plus_trend,3,2,7|14|19,shift_at_7,9.196365342188653,1.1907747373851796,7.723010115568069,27,2.634231360208176e-08,6.753097397767946,11.63963328660936
break_plus_trend,3,2,7|14|19,shift_at_14,-8.427744546683304,1.170928909042467,-7.197486099796728,27,9.679435917151696e-08,-10.830292214885604,-6.025196878481004
break_plus_trend,3,2,7|14|19,shift_at_19,11.367709126155,1.3615116419776894,8.349329359859619,27,5.8500840337350944e-09,8.574117990601998,14.161300261708
trend_only,4,0,,intercept,35.456287746692226,1.0187850040747928,34.8025222248847,32,5.2596280704441166e-27,33.38109060207515,37.531484891309304
trend_only,4,0,,time,0.3762788282562575,0.1038443233335676,3.623489625403775,32,0.0009953966297759,0.1647548635290617,0.5878027929834533
break_only,4,2,7|14|19,intercept,28.20200642043469,0.7306073952385826,38.60076780529331,28,7.954002593309418e-26,26.705425014179557,29.69858782668982
break_only,4,2,7|14|19,shift_at_7,9.0715128409431,1.0082152754483775,8.997595118670246,28,9.392073078285528e-10,7.006277470247584,11.136748211638617
break_only,4,2,7|14|19,shift_at_14,-8.530657605433621,1.0489850342518057,-8.132296769627565,28,7.463622458079347e-09,-10.67940604123135,-6.381909169635893
break_only,4,2,7|14|19,shift_at_19,11.165635608297812,0.9011631494973952,12.390248774070722,28,6.975703635080512e-13,9.319686576944653,13.011584639650971
